Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,10172303393.0612,11054517345.7109,13311487445.0686,
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,3489923527067.67,4062850047299.39,4390347563465.91,
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,734271183944.989,874156115900.131,1108571517285.38,
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,27034593750.0,34229513773.9708,51662241775.0629,
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,24530513037.7518,27569136729.9023,27684264748.2324,
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,348392090695.217,423797100521.555,466788426791.966,
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1536145814.17007,1580303515.40945,1597204340.62902,
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,4062906265.7332,4249234704.01866,4094563859.43556,
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24930080000.0,29451240000.0,32488720000.0,
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1541247883.99351,1855382833.1165,3478231165177.1567,
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,9204140383.17507,9838711529.45863,10419541202.0382,
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,53356484591.4378,63101069561.2193,63563401043.5044,
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1714659156400.95,1930171554030.08,2058942959164.7,
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,2742180484856.228,3169870939951.8335,3478231165177.1567,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1715842671714.98,1931458241338.34,2060531397309.08,
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,453792483117.133,542727261728.344,636018280142.001,
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,471229484.607144,524402450.755612,542686976.457587,
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,2911807496.20227,3081401725.88833,3620987993.32637,
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,106731482855.496,118576482542.583,115461711688.965,
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,53734526854.2289,61832201543.8285,60063475466.3446,
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,547054174235.876,639714956069.468,591718144602.141,
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3982236692.55236,4850842571.59151,4790922065.6101,
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1236428075.42112,1353071060.2652,1537088724.46126,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1183515314.03478,1286687308.25807,1588438144.37685,
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,11156757922.0385,8969512933.38826,3478231165177.1567,
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,924583000.0,1044778790.0,1138808881.1,
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10715396042.3343,11779981332.8631,12704149840.2283,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,17465796008751.6,20813163295456.1,21167325456079.4,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,3900173017455.42,4616362221588.67,5189746524698.23,
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,7486031561.86885,8443112143.23844,8341225241.45693,
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,500457264955.763,505568063988.806,495423343049.622,
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,8133963813.07025,8937805347.13963,10492123387.7931,
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,45818000000.0,50007428571.4286,56542857142.8571,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,4561170249972.34,5281323492901.43,6001569526439.77,
